ball 	 paddle 
[[668.8965011418618, 113.88268680562885]]	[[634.1334819793701, 50]]
[[672.3647805123508, 117.70394514472241]]	[[634.1334819793701, 50]]
[[675.8551257924277, 121.5495151184957]]	[[634.1334819793701, 50]]
[[679.2993243261726, 125.34424182954234]]	[[634.1334819793701, 50]]
[[682.7321704654524, 129.12646077308113]]	[[634.1334819793701, 50]]
[[686.1812834556757, 132.92660210209652]]	[[634.1334819793701, 50]]
[[689.6743316868158, 136.77515011575264]]	[[634.1334819793701, 50]]
[[693.0729240644413, 140.51962917204918]]	[[634.1334819793701, 50]]
[[696.5239045481263, 144.3218280558927]]	[[634.1334819793701, 50]]
[[699.9590113373862, 148.10653772369713]]	[[634.1334819793701, 50]]
[[703.4137268079949, 151.9128517171969]]	[[634.1334819793701, 50]]
[[706.8645107134208, 155.71483401632167]]	[[634.1334819793701, 50]]
[[710.3410463707935, 159.54518891360274]]	[[634.1334819793701, 50]]
[[713.7629824166913, 163.31538740525087]]	[[634.1334819793701, 50]]
[[717.2405501099245, 167.1468793723054]]	[[634.1334819793701, 50]]
[[720.6523623754769, 170.9059237509379]]	[[634.1334819793701, 50]]
[[724.1503250630952, 174.75988638256277]]	[[634.1334819793701, 50]]
[[727.5658723155711, 178.52304587085152]]	[[634.1334819793701, 50]]
[[731.0355768784389, 182.345874449156]]	[[634.1334819793701, 50]]
[[734.4733866187619, 186.13356215684325]]	[[634.1334819793701, 50]]
[[737.9328199675898, 189.94507418359305]]	[[634.1334819793701, 50]]
[[741.3737258154943, 193.7361731006006]]	[[634.1334819793701, 50]]
[[744.8407765718637, 197.55607778520198]]	[[634.1334819793701, 50]]
[[748.2822721545455, 201.3478264563658]]	[[634.1334819793701, 50]]
[[751.7456370685561, 205.1636701774906]]	[[634.1334819793701, 50]]
[[755.1681628492313, 208.93451842329497]]	[[634.1334819793701, 50]]
[[758.6279893545775, 212.74646361948226]]	[[634.1334819793701, 50]]
[[762.0979396402691, 216.5695629286852]]	[[634.1334819793701, 50]]
[[765.5326532730107, 220.35383942705212]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
[[769.0126781944831, 224.18803870309102]]	[[634.1334819793701, 50]]
