ball	 paddle	timestamp
[524.5213470017702, 378.8276704011938, 1341266871.108452]	[637.0, 384.0, 1341266871.108598]
[524.5213470017702, 378.8276704011938, 1341266871.119816]	[637.0, 384.0, 1341266871.119904]
[524.5213470017702, 378.8276704011938, 1341266871.13909]	[637.0, 384.0, 1341266871.139187]
[524.5213470017702, 378.8276704011938, 1341266871.155678]	[637.0, 384.0, 1341266871.155773]
[524.5213470017702, 378.8276704011938, 1341266871.172664]	[637.0, 384.0, 1341266871.172762]
[524.5213470017702, 378.8276704011938, 1341266871.189092]	[637.0, 384.0, 1341266871.189188]
[524.5213470017702, 378.8276704011938, 1341266871.207143]	[637.0, 384.0, 1341266871.207242]
[524.5213470017702, 378.8276704011938, 1341266871.222683]	[637.0, 384.0, 1341266871.222781]
[524.5213470017702, 378.8276704011938, 1341266871.240459]	[637.0, 384.0, 1341266871.240558]
[524.5213470017702, 378.8276704011938, 1341266871.255735]	[637.0, 384.0, 1341266871.255828]
[524.5213470017702, 378.8276704011938, 1341266871.273322]	[637.0, 384.0, 1341266871.27342]
[524.5213470017702, 378.8276704011938, 1341266871.289387]	[637.0, 384.0, 1341266871.289483]
[524.5213470017702, 378.8276704011938, 1341266871.30736]	[637.0, 384.0, 1341266871.307459]
[524.5213470017702, 378.8276704011938, 1341266871.323973]	[637.0, 384.0, 1341266871.324075]
[524.5213470017702, 378.8276704011938, 1341266871.340661]	[637.0, 384.0, 1341266871.340759]
[524.5213470017702, 378.8276704011938, 1341266871.356042]	[637.0, 384.0, 1341266871.356137]
[524.5213470017702, 378.8276704011938, 1341266871.374325]	[637.0, 384.0, 1341266871.374426]
[524.5213470017702, 378.8276704011938, 1341266871.389687]	[637.0, 384.0, 1341266871.38981]
[524.5213470017702, 378.8276704011938, 1341266871.407776]	[637.0, 384.0, 1341266871.407874]
[524.5213470017702, 378.8276704011938, 1341266871.423278]	[637.0, 384.0, 1341266871.423376]
[524.5213470017702, 378.8276704011938, 1341266871.440865]	[637.0, 384.0, 1341266871.440963]
[524.5213470017702, 378.8276704011938, 1341266871.456347]	[637.0, 384.0, 1341266871.456441]
[524.5213470017702, 378.8276704011938, 1341266871.474559]	[637.0, 384.0, 1341266871.47466]
[524.5213470017702, 378.8276704011938, 1341266871.490988]	[637.0, 384.0, 1341266871.491086]
[524.5213470017702, 378.8276704011938, 1341266871.506734]	[637.0, 384.0, 1341266871.506829]
[524.5213470017702, 378.8276704011938, 1341266871.524698]	[637.0, 384.0, 1341266871.524798]
[524.5213470017702, 378.8276704011938, 1341266871.541055]	[637.0, 384.0, 1341266871.541153]
[524.5213470017702, 378.8276704011938, 1341266871.556649]	[637.0, 384.0, 1341266871.556745]
[524.5213470017702, 378.8276704011938, 1341266871.574841]	[637.0, 384.0, 1341266871.574941]
[524.5213470017702, 378.8276704011938, 1341266871.590409]	[637.0, 384.0, 1341266871.590505]
[524.5213470017702, 378.8276704011938, 1341266871.606937]	[637.0, 384.0, 1341266871.60703]
[524.5213470017702, 378.8276704011938, 1341266871.625038]	[637.0, 384.0, 1341266871.625138]
[524.5213470017702, 378.8276704011938, 1341266871.641273]	[637.0, 384.0, 1341266871.64137]
[524.5213470017702, 378.8276704011938, 1341266871.656968]	[637.0, 384.0, 1341266871.657061]
[524.5213470017702, 378.8276704011938, 1341266871.674031]	[637.0, 384.0, 1341266871.674127]
[524.5213470017702, 378.8276704011938, 1341266871.690633]	[637.0, 384.0, 1341266871.690733]
[524.5213470017702, 378.8276704011938, 1341266871.708521]	[637.0, 384.0, 1341266871.70862]
[524.5213470017702, 378.8276704011938, 1341266871.725183]	[637.0, 384.0, 1341266871.725284]
[524.5213470017702, 378.8276704011938, 1341266871.74172]	[637.0, 384.0, 1341266871.741817]
[524.5213470017702, 378.8276704011938, 1341266871.757262]	[637.0, 384.0, 1341266871.757354]
[524.5213470017702, 378.8276704011938, 1341266871.775348]	[637.0, 384.0, 1341266871.775448]
[524.5213470017702, 378.8276704011938, 1341266871.790877]	[637.0, 384.0, 1341266871.790972]
[524.5213470017702, 378.8276704011938, 1341266871.808854]	[637.0, 384.0, 1341266871.808953]
[524.5213470017702, 378.8276704011938, 1341266871.825564]	[637.0, 384.0, 1341266871.825664]
[524.5213470017702, 378.8276704011938, 1341266871.841575]	[637.0, 384.0, 1341266871.841672]
[524.5213470017702, 378.8276704011938, 1341266871.857576]	[637.0, 384.0, 1341266871.85767]
[524.5213470017702, 378.8276704011938, 1341266871.875731]	[637.0, 384.0, 1341266871.875832]
[524.5213470017702, 378.8276704011938, 1341266871.891747]	[637.0, 384.0, 1341266871.891842]
[524.5213470017702, 378.8276704011938, 1341266871.907704]	[637.0, 384.0, 1341266871.907798]
[524.5213470017702, 378.8276704011938, 1341266871.924902]	[637.0, 384.0, 1341266871.924999]
[524.5213470017702, 378.8276704011938, 1341266871.941127]	[637.0, 384.0, 1341266871.94122]
[524.5213470017702, 378.8276704011938, 1341266871.959197]	[637.0, 384.0, 1341266871.959296]
[524.5213470017702, 378.8276704011938, 1341266871.975994]	[637.0, 384.0, 1341266871.976091]
[524.5213470017702, 378.8276704011938, 1341266871.99195]	[637.0, 384.0, 1341266871.992047]
[524.5213470017702, 378.8276704011938, 1341266872.007991]	[637.0, 384.0, 1341266872.008085]
[524.5213470017702, 378.8276704011938, 1341266872.026139]	[637.0, 384.0, 1341266872.026238]
[524.5213470017702, 378.8276704011938, 1341266872.042063]	[637.0, 384.0, 1341266872.042159]
[524.5213470017702, 378.8276704011938, 1341266872.059574]	[637.0, 384.0, 1341266872.059684]
[524.5213470017702, 378.8276704011938, 1341266872.074852]	[637.0, 384.0, 1341266872.074943]
[524.5213470017702, 378.8276704011938, 1341266872.092271]	[637.0, 384.0, 1341266872.092369]
[524.5213470017702, 378.8276704011938, 1341266872.108511]	[637.0, 384.0, 1341266872.108608]
[524.5213470017702, 378.8276704011938, 1341266872.125201]	[637.0, 384.0, 1341266872.125299]
[524.5213470017702, 378.8276704011938, 1341266872.143187]	[637.0, 384.0, 1341266872.143287]
[524.5213470017702, 378.8276704011938, 1341266872.159928]	[637.0, 384.0, 1341266872.160026]
[524.5213470017702, 378.8276704011938, 1341266872.17661]	[637.0, 384.0, 1341266872.176709]
[524.5213470017702, 378.8276704011938, 1341266872.192366]	[637.0, 384.0, 1341266872.192463]
[524.5213470017702, 378.8276704011938, 1341266872.208793]	[637.0, 384.0, 1341266872.208887]
[524.5213470017702, 378.8276704011938, 1341266872.225805]	[637.0, 384.0, 1341266872.225902]
[524.5213470017702, 378.8276704011938, 1341266872.243527]	[637.0, 384.0, 1341266872.243627]
[524.5213470017702, 378.8276704011938, 1341266872.260188]	[637.0, 384.0, 1341266872.260286]
[524.5213470017702, 378.8276704011938, 1341266872.27694]	[637.0, 384.0, 1341266872.277039]
[524.5213470017702, 378.8276704011938, 1341266872.292315]	[637.0, 384.0, 1341266872.29241]
[524.5213470017702, 378.8276704011938, 1341266872.309094]	[637.0, 384.0, 1341266872.309191]
[524.5213470017702, 378.8276704011938, 1341266872.325808]	[637.0, 384.0, 1341266872.325904]
[524.5213470017702, 378.8276704011938, 1341266872.343736]	[637.0, 384.0, 1341266872.343836]
[524.5213470017702, 378.8276704011938, 1341266872.360417]	[637.0, 384.0, 1341266872.360515]
[524.5213470017702, 378.8276704011938, 1341266872.377169]	[637.0, 384.0, 1341266872.377268]
[524.5213470017702, 378.8276704011938, 1341266872.393939]	[637.0, 384.0, 1341266872.394038]
[524.5213470017702, 378.8276704011938, 1341266872.410515]	[637.0, 384.0, 1341266872.410612]
[524.5213470017702, 378.8276704011938, 1341266872.426102]	[637.0, 384.0, 1341266872.426198]
[524.5213470017702, 378.8276704011938, 1341266872.444032]	[637.0, 384.0, 1341266872.444131]
[524.5213470017702, 378.8276704011938, 1341266872.459556]	[637.0, 384.0, 1341266872.459664]
[524.5213470017702, 378.8276704011938, 1341266872.476272]	[637.0, 384.0, 1341266872.476368]
[524.5213470017702, 378.8276704011938, 1341266872.494255]	[637.0, 384.0, 1341266872.494353]
[524.5213470017702, 378.8276704011938, 1341266872.510685]	[637.0, 384.0, 1341266872.510783]
[524.5213470017702, 378.8276704011938, 1341266872.526242]	[637.0, 384.0, 1341266872.526334]
[524.5213470017702, 378.8276704011938, 1341266872.543294]	[637.0, 384.0, 1341266872.54339]
[524.5213470017702, 378.8276704011938, 1341266872.560864]	[637.0, 384.0, 1341266872.560961]
[524.5213470017702, 378.8276704011938, 1341266872.577762]	[637.0, 384.0, 1341266872.577863]
[524.5213470017702, 378.8276704011938, 1341266872.594514]	[637.0, 384.0, 1341266872.594613]
[524.5213470017702, 378.8276704011938, 1341266872.610003]	[637.0, 384.0, 1341266872.610101]
[524.5213470017702, 378.8276704011938, 1341266872.627987]	[637.0, 384.0, 1341266872.628087]
[524.5213470017702, 378.8276704011938, 1341266872.643858]	[637.0, 384.0, 1341266872.643954]
[524.5213470017702, 378.8276704011938, 1341266872.660033]	[637.0, 384.0, 1341266872.660125]
[524.5213470017702, 378.8276704011938, 1341266872.678046]	[637.0, 384.0, 1341266872.678146]
[524.5213470017702, 378.8276704011938, 1341266872.694766]	[637.0, 384.0, 1341266872.694865]
[524.5213470017702, 378.8276704011938, 1341266872.711205]	[637.0, 384.0, 1341266872.711302]
[524.5213470017702, 378.8276704011938, 1341266872.728229]	[637.0, 384.0, 1341266872.728329]
[524.5213470017702, 378.8276704011938, 1341266872.743909]	[637.0, 384.0, 1341266872.744006]
[524.5213470017702, 378.8276704011938, 1341266872.760342]	[637.0, 384.0, 1341266872.760435]
[524.5213470017702, 378.8276704011938, 1341266872.77842]	[637.0, 384.0, 1341266872.778519]
[524.5213470017702, 378.8276704011938, 1341266872.795077]	[637.0, 384.0, 1341266872.795178]
[524.5213470017702, 378.8276704011938, 1341266872.811373]	[637.0, 384.0, 1341266872.81147]
[524.5213470017702, 378.8276704011938, 1341266872.827339]	[637.0, 384.0, 1341266872.827437]
[524.5213470017702, 378.8276704011938, 1341266872.845227]	[637.0, 384.0, 1341266872.845326]
[524.5213470017702, 378.8276704011938, 1341266872.861483]	[637.0, 384.0, 1341266872.86158]
[524.5213470017702, 378.8276704011938, 1341266872.877304]	[637.0, 384.0, 1341266872.877401]
[524.5213470017702, 378.8276704011938, 1341266872.895464]	[637.0, 384.0, 1341266872.895562]
[524.5213470017702, 378.8276704011938, 1341266872.911628]	[637.0, 384.0, 1341266872.911728]
[524.5213470017702, 378.8276704011938, 1341266872.927632]	[637.0, 384.0, 1341266872.927728]
[524.5213470017702, 378.8276704011938, 1341266872.945617]	[637.0, 384.0, 1341266872.945717]
[524.5213470017702, 378.8276704011938, 1341266872.961614]	[637.0, 384.0, 1341266872.961711]
[524.5213470017702, 378.8276704011938, 1341266872.977615]	[637.0, 384.0, 1341266872.977708]
[524.5213470017702, 378.8276704011938, 1341266872.995762]	[637.0, 384.0, 1341266872.995861]
[524.5213470017702, 378.8276704011938, 1341266873.011787]	[637.0, 384.0, 1341266873.011883]
[524.5213470017702, 378.8276704011938, 1341266873.029154]	[637.0, 384.0, 1341266873.029251]
[524.5213470017702, 378.8276704011938, 1341266873.045934]	[637.0, 384.0, 1341266873.046033]
[524.5213470017702, 378.8276704011938, 1341266873.061902]	[637.0, 384.0, 1341266873.061999]
[524.5213470017702, 378.8276704011938, 1341266873.079263]	[637.0, 384.0, 1341266873.079363]
[524.5213470017702, 378.8276704011938, 1341266873.09605]	[637.0, 384.0, 1341266873.09615]
[524.5213470017702, 378.8276704011938, 1341266873.111985]	[637.0, 384.0, 1341266873.112081]
[524.5213470017702, 378.8276704011938, 1341266873.128492]	[637.0, 384.0, 1341266873.128587]
[524.5213470017702, 378.8276704011938, 1341266873.146239]	[637.0, 384.0, 1341266873.146337]
[524.5213470017702, 378.8276704011938, 1341266873.162108]	[637.0, 384.0, 1341266873.162204]
[524.5213470017702, 378.8276704011938, 1341266873.178194]	[637.0, 384.0, 1341266873.178288]
[524.5213470017702, 378.8276704011938, 1341266873.195093]	[637.0, 384.0, 1341266873.195188]
