ball 	 paddle 
[[582.0644024535837, 97.979131160897]]	[[600.3450393676758, 50]]
[[584.4412413420723, 95.34176190654512]]	[[600.3450393676758, 50]]
[[586.8017968175635, 92.72246092472241]]	[[600.3450393676758, 50]]
[[589.1746912768167, 90.08946845688381]]	[[600.3450393676758, 50]]
[[591.5385169201355, 87.46653885718257]]	[[600.3450393676758, 50]]
[[593.9130970329081, 84.83167596775709]]	[[600.3450393676758, 50]]
[[596.2731130992731, 82.21297352084218]]	[[600.3450393676758, 50]]
[[598.7005890194844, 79.51941680202069]]	[[600.3450393676758, 50]]
[[601.0096983495637, 76.95720108702929]]	[[600.3450393676758, 50]]
[[603.3882228915717, 74.31796141109054]]	[[600.3450393676758, 50]]
[[605.7581506006308, 71.68826088524483]]	[[600.3450393676758, 50]]
[[608.1223808007942, 69.06488238436275]]	[[600.3450393676758, 50]]
[[610.4832734069893, 66.44520731822267]]	[[600.3450393676758, 50]]
[[612.834658927335, 63.83608142983255]]	[[600.3450393676758, 50]]
[[615.2034403920009, 61.20765279066591]]	[[600.3450393676758, 50]]
[[617.5940005001373, 58.5550583045969]]	[[600.3450393676758, 50]]
[[619.9818635626427, 63.85725460219593]]	[[600.3450393676758, 50]]
[[622.3201009855371, 66.45179120220845]]	[[600.3450393676758, 50]]
[[624.6825106798997, 69.07314964777672]]	[[600.3450393676758, 50]]
[[627.0616083441042, 71.713025267055]]	[[600.3450393676758, 50]]
[[629.4271533540128, 74.33786269677485]]	[[600.3450393676758, 50]]
[[631.7974856199165, 76.9680121238014]]	[[600.3450393676758, 50]]
[[634.1482980180656, 79.576502068852]]	[[600.3450393676758, 50]]
[[636.4992789815666, 82.18517905606127]]	[[600.3450393676758, 50]]
[[638.9069316163897, 84.85673961702116]]	[[600.3450393676758, 50]]
[[641.2744319843808, 87.48374673578178]]	[[600.3450393676758, 50]]
[[643.6317510051148, 90.09945650815769]]	[[600.3450393676758, 50]]
[[646.0086236066737, 92.7368631709413]]	[[600.3450393676758, 50]]
[[648.3499626320438, 95.33484134667367]]	[[600.3450393676758, 50]]
[[650.7218456991853, 97.96671156156015]]	[[600.3450393676758, 50]]
[[653.1147994353194, 100.62196204628252]]	[[600.3450393676758, 50]]
[[655.4622405264297, 103.22671114815937]]	[[600.3450393676758, 50]]
[[657.8126483677341, 105.8347521920291]]	[[600.3450393676758, 50]]
[[660.2353033188799, 108.52295950511214]]	[[600.3450393676758, 50]]
[[662.5524700727818, 111.09411583528878]]	[[600.3450393676758, 50]]
[[664.9333882427874, 113.73601150988088]]	[[600.3450393676758, 50]]
[[667.303889074043, 116.36634797906612]]	[[600.3450393676758, 50]]
[[669.6600618503838, 118.98078586476296]]	[[600.3450393676758, 50]]
[[672.0182574109479, 121.59746825636405]]	[[600.3450393676758, 50]]
[[674.4027154533441, 124.24329181628859]]	[[600.3450393676758, 50]]
