ball	 paddle	timestamp
[642.20204541222517, 399.65983267081913, 1341340820.5784471]	[765.0, 400.0, 1341340820.5785339]
[642.20204541222517, 399.65983267081913, 1341340820.587702]	[765.0, 400.0, 1341340820.5877759]
[642.20204541222517, 399.65983267081913, 1341340820.605916]	[765.0, 400.0, 1341340820.6060009]
[642.20204541222517, 399.65983267081913, 1341340820.6211441]	[765.0, 400.0, 1341340820.621228]
[642.20204541222517, 399.65983267081913, 1341340820.637645]	[765.0, 400.0, 1341340820.6377311]
[642.20204541222517, 399.65983267081913, 1341340820.6539669]	[765.0, 400.0, 1341340820.6540439]
[642.20204541222517, 399.65983267081913, 1341340820.670568]	[765.0, 400.0, 1341340820.670666]
[642.20204541222517, 399.65983267081913, 1341340820.686553]	[765.0, 400.0, 1341340820.6866219]
[642.20204541222517, 399.65983267081913, 1341340820.7033961]	[765.0, 400.0, 1341340820.7034931]
[642.20204541222517, 399.65983267081913, 1341340820.7196701]	[765.0, 400.0, 1341340820.719754]
[642.20204541222517, 399.65983267081913, 1341340820.7359591]	[765.0, 400.0, 1341340820.736027]
[642.20204541222517, 399.65983267081913, 1341340820.7524791]	[765.0, 400.0, 1341340820.7525489]
[642.20204541222517, 399.65983267081913, 1341340820.7687459]	[765.0, 400.0, 1341340820.768816]
[642.20204541222517, 399.65983267081913, 1341340820.785506]	[765.0, 400.0, 1341340820.785603]
[642.20204541222517, 399.65983267081913, 1341340820.8018081]	[765.0, 400.0, 1341340820.801893]
[642.20204541222517, 399.65983267081913, 1341340820.818408]	[765.0, 400.0, 1341340820.8185029]
[642.20204541222517, 399.65983267081913, 1341340820.834661]	[765.0, 400.0, 1341340820.8347499]
[642.20204541222517, 399.65983267081913, 1341340820.8526371]	[765.0, 400.0, 1341340820.852721]
[642.20204541222517, 399.65983267081913, 1341340820.8674941]	[765.0, 400.0, 1341340820.8675711]
[642.20204541222517, 399.65983267081913, 1341340820.8835859]	[765.0, 400.0, 1341340820.883656]
[642.20204541222517, 399.65983267081913, 1341340820.9003699]	[765.0, 400.0, 1341340820.9004681]
[642.20204541222517, 399.65983267081913, 1341340820.91678]	[765.0, 400.0, 1341340820.9168789]
[642.20204541222517, 399.65983267081913, 1341340820.9330201]	[765.0, 400.0, 1341340820.9331069]
[642.20204541222517, 399.65983267081913, 1341340820.9495161]	[765.0, 400.0, 1341340820.949614]
[642.20204541222517, 399.65983267081913, 1341340820.96597]	[765.0, 400.0, 1341340820.9660571]
[642.20204541222517, 399.65983267081913, 1341340820.9823191]	[765.0, 400.0, 1341340820.98242]
[642.20204541222517, 399.65983267081913, 1341340820.9987299]	[765.0, 400.0, 1341340820.998816]
[642.20204541222517, 399.65983267081913, 1341340821.0151041]	[765.0, 400.0, 1341340821.015188]
[642.20204541222517, 399.65983267081913, 1341340821.0317249]	[765.0, 400.0, 1341340821.0318191]
[642.20204541222517, 399.65983267081913, 1341340821.047925]	[765.0, 400.0, 1341340821.048022]
[642.20204541222517, 399.65983267081913, 1341340821.0643239]	[765.0, 400.0, 1341340821.064415]
[642.20204541222517, 399.65983267081913, 1341340821.0808699]	[765.0, 400.0, 1341340821.0809741]
[642.20204541222517, 399.65983267081913, 1341340821.0970089]	[765.0, 400.0, 1341340821.0970919]
[642.20204541222517, 399.65983267081913, 1341340821.1137619]	[765.0, 400.0, 1341340821.1138461]
[642.20204541222517, 399.65983267081913, 1341340821.1297929]	[765.0, 400.0, 1341340821.12988]
[642.20204541222517, 399.65983267081913, 1341340821.1464801]	[765.0, 400.0, 1341340821.1465809]
[642.20204541222517, 399.65983267081913, 1341340821.1629291]	[765.0, 400.0, 1341340821.163027]
[642.20204541222517, 399.65983267081913, 1341340821.1792221]	[765.0, 400.0, 1341340821.1793239]
[642.20204541222517, 399.65983267081913, 1341340821.195375]	[765.0, 400.0, 1341340821.195461]
[642.20204541222517, 399.65983267081913, 1341340821.2124009]	[765.0, 400.0, 1341340821.2124889]
[642.20204541222517, 399.65983267081913, 1341340821.228657]	[765.0, 400.0, 1341340821.2287519]
[642.20204541222517, 399.65983267081913, 1341340821.2448599]	[765.0, 400.0, 1341340821.2449441]
[642.20204541222517, 399.65983267081913, 1341340821.261272]	[765.0, 400.0, 1341340821.2614551]
[642.20204541222517, 399.65983267081913, 1341340821.2778311]	[765.0, 400.0, 1341340821.2779169]
[642.20204541222517, 399.65983267081913, 1341340821.2938349]	[765.0, 400.0, 1341340821.29391]
