ball 	 paddle 
[[626.9326767350652, 95.08282218064988]]	[[633.7894439697266, 50]]
[[630.2520922930055, 99.06093279904792]]	[[633.7894439697266, 50]]
[[633.5689756283607, 103.03600870805872]]	[[633.7894439697266, 50]]
[[636.8058125942215, 106.91515408144002]]	[[633.7894439697266, 50]]
[[640.1148179037565, 110.88078867235724]]	[[633.7894439697266, 50]]
[[643.4541160982906, 114.88272737927718]]	[[633.7894439697266, 50]]
[[646.756228135233, 118.8401008168625]]	[[633.7894439697266, 50]]
[[649.9999114806756, 122.72745114525371]]	[[633.7894439697266, 50]]
[[653.2796086584391, 126.6579617849299]]	[[633.7894439697266, 50]]
[[656.5890360050716, 130.62410216074497]]	[[633.7894439697266, 50]]
[[659.8817225468363, 134.5701797356112]]	[[633.7894439697266, 50]]
[[663.1877735966888, 138.5322738322433]]	[[633.7894439697266, 50]]
[[666.4481977469993, 142.4396869615834]]	[[633.7894439697266, 50]]
[[669.7532640436242, 146.4006008934538]]	[[633.7894439697266, 50]]
[[673.0449658321613, 150.34549830355832]]	[[633.7894439697266, 50]]
[[676.3441236094211, 154.29933124685854]]	[[633.7894439697266, 50]]
[[679.645250893136, 158.25552451968218]]	[[633.7894439697266, 50]]
[[682.9286995117662, 162.19053102511722]]	[[633.7894439697266, 50]]
[[686.2201668352492, 166.1351474436118]]	[[633.7894439697266, 50]]
[[689.5075544667895, 170.07487460809364]]	[[633.7894439697266, 50]]
[[692.7978494650016, 174.01808606853857]]	[[633.7894439697266, 50]]
[[696.0783438239492, 177.94955207968852]]	[[633.7894439697266, 50]]
[[699.3787208194907, 181.90484617936036]]	[[633.7894439697266, 50]]
[[702.7091562349771, 185.89616340342502]]	[[633.7894439697266, 50]]
[[705.9623119686082, 189.79486579285734]]	[[633.7894439697266, 50]]
[[709.2923253469971, 193.7856772320241]]	[[633.7894439697266, 50]]
[[712.576149109714, 197.72113332403504]]	[[633.7894439697266, 50]]
[[715.863911885341, 201.66131007509276]]	[[633.7894439697266, 50]]
[[719.1408892684761, 205.58856121209377]]	[[633.7894439697266, 50]]
[[722.451066903282, 209.55560076106062]]	[[633.7894439697266, 50]]
[[725.7311392251322, 213.48656098731269]]	[[633.7894439697266, 50]]
[[729.0134155184916, 217.42016253469808]]	[[633.7894439697266, 50]]
[[732.2995839317502, 221.35842854280827]]	[[633.7894439697266, 50]]
[[735.6040875122452, 225.31866809481485]]	[[633.7894439697266, 50]]
[[738.8873016658213, 229.25339360863995]]	[[633.7894439697266, 50]]
[[742.1876786613627, 233.2086877083118]]	[[633.7894439697266, 50]]
[[745.4984190122987, 237.17640163714248]]	[[633.7894439697266, 50]]
[[748.7818676309289, 241.11140814257752]]	[[633.7894439697266, 50]]
[[752.0698179785993, 245.05180968692318]]	[[633.7894439697266, 50]]
[[755.3873109230954, 249.0276161741198]]	[[633.7894439697266, 50]]
[[758.6404197637157, 252.92626236523012]]	[[633.7894439697266, 50]]
[[761.9492375012074, 256.8916721628594]]	[[633.7894439697266, 50]]
[[765.2570704854717, 260.85590179572694]]	[[633.7894439697266, 50]]
[[768.5456304422829, 264.7970339182584]]	[[633.7894439697266, 50]]
[[771.8304389582273, 268.733670175031]]	[[633.7894439697266, 50]]
[[775.1984356753921, 272.7700022550062]]	[[625.2274751663208, 50]]
[[778.4222832772517, 276.6335806931975]]	[[617.0319557189941, 50]]
[[778.4222832772517, 280.5897739660211]]	[[608.6399793624878, 50]]
[[775.0867365235844, 284.5872168071822]]	[[600.1605033874512, 50]]
[[771.8280474146748, 288.49255059860883]]	[[591.8764114379883, 50]]
[[768.5082567126478, 292.47111080358275]]	[[583.4369897842407, 50]]
[[765.2230261596059, 296.40825284525323]]	[[575.0854253768921, 50]]
[[761.9661658781188, 300.3113949021224]]	[[566.8059825897217, 50]]
[[758.6843116218569, 304.24449066460994]]	[[558.4630012512207, 50]]
[[755.3259279719131, 308.26930208857806]]	[[558.4630012512207, 50]]
[[752.0198769220606, 312.2313961852102]]	[[558.4630012512207, 50]]
[[748.7915275911608, 316.1003696623121]]	[[558.4630012512207, 50]]
[[745.4473056304892, 320.1082091930406]]	[[558.4630012512207, 50]]
[[742.2248179259437, 323.97015787989426]]	[[558.4630012512207, 50]]
[[738.9177821228637, 327.93343214128805]]	[[558.4630012512207, 50]]
[[735.6341459321901, 331.868663440011]]	[[558.4630012512207, 50]]
[[732.3371452334287, 335.8199112604999]]	[[558.4630012512207, 50]]
[[729.0570729115785, 339.750871486752]]	[[558.4630012512207, 50]]
[[725.7431438359059, 343.7224069014777]]	[[558.4630012512207, 50]]
[[722.4406097618661, 347.6802861239609]]	[[558.4630012512207, 50]]
[[719.1729171948763, 351.5964099932088]]	[[558.4630012512207, 50]]
[[715.8784956117107, 355.54456690598846]]	[[558.4630012512207, 50]]
[[712.5797129785376, 359.4979502627128]]	[[558.4630012512207, 50]]
[[709.2805552012778, 363.45178320601303]]	[[558.4630012512207, 50]]
[[705.9904008820982, 367.394826071492]]	[[558.4630012512207, 50]]
[[702.7067646914246, 371.33005737021494]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
[[699.3946175501636, 375.2994572487052]]	[[558.4630012512207, 50]]
